employee_id,project_id,date,hours
E025,P025,27/02/2024,8
E026,P025,28/02/2024,6.5
E030,P025,28/02/2024,7
E035,P025,28/02/2024,8
E040,P025,28/02/2024,6
E003,P035,03/03/2024,8
E010,P035,03/03/2024,7.5
E015,P035,03/03/2024,8
E024,P035,04/03/2024,6
E031,P035,04/03/2024,8
E039,P035,04/03/2024,7
E001,P007,05/03/2024,8
E005,P007,05/03/2024,9
E011,P007,05/03/2024,8
E014,P007,06/03/2024,7.5
E017,P007,06/03/2024,8
E022,P007,06/03/2024,6.5
E023,P007,07/03/2024,8
E029,P007,07/03/2024,9
E036,P007,07/03/2024,8
E027,P001,10/03/2024,8
E032,P018,10/03/2024,7
E037,P001,10/03/2024,8
E001,P001,11/03/2024,7.5
E007,P001,11/03/2024,8
E017,P001,11/03/2024,6
E001,P001,11/03/2024,7.5
E002,P003,12/03/2024,8
E009,P003,12/03/2024,7
E020,P003,12/03/2024,6.5
E025,P003,13/03/2024,8
E035,P003,13/03/2024,7.5
E040,P003,13/03/2024,6
E004,P004,14/03/2024,4
E012,P004,14/03/2024,3.5
E016,P004,14/03/2024,5
E028,P004,17/03/2024,4
E038,P004,17/03/2024,3
,P001,17/03/2024,8
E006,P006,17/03/2024,7.5
E019,P006,18/03/2024,8
E033,P006,18/03/2024,6
E006,P029,18/03/2024,8
E019,P029,19/03/2024,7
E033,P029,19/03/2024,8
E008,P010,19/03/2024,6.5
E018,P010,20/03/2024,8
E026,P010,20/03/2024,7
E034,P010,20/03/2024,8
E003,P008,21/03/2024,7.5
E015,P008,21/03/2024,8
E024,P008,21/03/2024,6
E031,P008,24/03/2024,8
E039,P008,24/03/2024,7
E010,P002,24/03/2024,8
E031,P002,25/03/2024,7.5
E039,P002,25/03/2024,8
E003,P002,25/03/2024,6.5
E001,P005,26/03/2024,8
E002,P005,26/03/2024,7
E006,P005,27/03/2024,8
E007,P005,27/03/2024,6.5
E019,P005,27/03/2024,8
E033,P005,28/03/2024,7
E013,P009,28/03/2024,8
E030,P009,28/03/2024,6
E040,P009,28/03/2024,7.5
E050,P001,31/03/2024,8
E001,P999,31/03/2024,6
E005,P007,31/03/2024,
E011,P012,01/04/2024,8
E022,P018,01/04/2024,7
E032,P018,01/04/2024,6.5
E027,P023,02/04/2024,8
E037,P001,02/04/2024,7.5
E001,P030,02/04/2024,8
E005,P030,03/04/2024,7
E017,P030,03/04/2024,8
E022,P030,03/04/2024,6
E014,P031,04/04/2024,8
E023,P031,04/04/2024,9
E029,P031,04/04/2024,8
E036,P031,04/04/2024,7.5
E007,P023,07/04/2024,8
E011,P023,07/04/2024,7
E017,P023,07/04/2024,8
E002,P026,08/04/2024,6.5
E008,P026,08/04/2024,8
E018,P026,08/04/2024,7
E026,P026,09/04/2024,8
E034,P026,09/04/2024,6
E040,P026,09/04/2024,7.5
E003,P020,10/04/2024,8
E010,P020,10/04/2024,7
E015,P020,10/04/2024,8
E024,P020,11/04/2024,6.5
E031,P020,11/04/2024,8
E039,P020,11/04/2024,7
E004,P015,14/04/2024,4.5
E012,P015,14/04/2024,3
E016,P015,14/04/2024,5
E028,P015,15/04/2024,4
E038,P015,15/04/2024,3.5
E001,P007,15/04/2024,8
E005,P007,15/04/2024,9
E011,P007,16/04/2024,8
E014,P007,16/04/2024,7.5
E023,P007,17/04/2024,9
E029,P007,17/04/2024,8
E036,P007,17/04/2024,8.5
E006,P006,18/04/2024,7.5
E019,P006,18/04/2024,8
E033,P006,18/04/2024,6
E008,P010,21/04/2024,7
E018,P010,21/04/2024,8
E026,P010,22/04/2024,6.5
E034,P010,22/04/2024,8
E002,P025,22/04/2024,7
E009,P025,23/04/2024,8
E025,P025,23/04/2024,6.5
E030,P025,23/04/2024,8
E035,P025,24/04/2024,7
E040,P025,24/04/2024,6
E037,P001,24/04/2024,8
E027,P001,25/04/2024,7.5
E032,P018,25/04/2024,8
E022,P018,25/04/2024,6.5
E017,P001,28/04/2024,8
E007,P001,28/04/2024,7
E001,P001,28/04/2024,8
E003,P035,29/04/2024,7.5
E010,P035,29/04/2024,8
E015,P035,29/04/2024,6.5
E024,P035,30/04/2024,8
E031,P035,30/04/2024,7
E039,P035,30/04/2024,8
E013,P009,30/04/2024,6
E030,P009,30/04/2024,8
E040,P009,30/04/2024,7.5
E020,P003,01/05/2024,not_a_number
E021,P004,01/05/2024,7
E006,P029,02/05/2024,8
E019,P029,02/05/2024,7
E033,P029,02/05/2024,8.5
E001,P031,05/05/2024,8
E014,P031,05/05/2024,7.5
E029,P031,05/05/2024,9
E036,P031,05/05/2024,8
E005,P030,06/05/2024,7
E017,P030,06/05/2024,8
E022,P030,06/05/2024,6.5
E027,P023,07/05/2024,8
E037,P001,07/05/2024,7.5
E032,P023,07/05/2024,8
E011,P012,08/05/2024,7
E022,P018,08/05/2024,8
E032,P018,08/05/2024,6
E007,P005,09/05/2024,7.5
E001,P005,09/05/2024,8
E006,P005,09/05/2024,7
E019,P005,12/05/2024,8
E003,P008,12/05/2024,7.5
E015,P008,12/05/2024,8
E024,P008,13/05/2024,6
E031,P008,13/05/2024,7.5
E039,P008,13/05/2024,8
E010,P002,14/05/2024,7
E031,P002,14/05/2024,8
E003,P002,14/05/2024,6.5
E039,P002,15/05/2024,8
E002,P026,15/05/2024,7
E008,P026,15/05/2024,6.5
E018,P026,16/05/2024,8
E034,P026,16/05/2024,7
E026,P026,16/05/2024,8
E040,P026,16/05/2024,6
E001,P007,19/05/2024,8
E005,P007,19/05/2024,9
E011,P007,19/05/2024,8
E014,P007,20/05/2024,7.5
E017,P007,20/05/2024,8
E022,P007,20/05/2024,6.5
E023,P007,21/05/2024,9
E029,P007,21/05/2024,8
E036,P007,21/05/2024,8
E004,P004,22/05/2024,5
E012,P004,22/05/2024,3.5
E016,P004,22/05/2024,4
E028,P004,22/05/2024,3
E038,P004,23/05/2024,4.5
E020,P003,23/05/2024,7
E025,P003,23/05/2024,8
E035,P003,23/05/2024,6.5
E040,P003,26/05/2024,7.5
E009,P003,26/05/2024,8
E002,P003,26/05/2024,6
E013,P009,27/05/2024,8
E030,P009,27/05/2024,seven
E040,P009,27/05/2024,6.5
E006,P006,28/05/2024,8
E019,P006,28/05/2024,7.5
E033,P006,28/05/2024,8
E008,P010,29/05/2024,6.5
E018,P010,29/05/2024,8
E026,P010,29/05/2024,7
E034,P010,30/05/2024,8
E003,P020,30/05/2024,7.5
E010,P020,30/05/2024,8
E015,P020,30/05/2024,6
E024,P020,30/05/2024,8
